order,ptype,vars,elapsed,env,ide
155,pairs,3,0.015632153,win,R
156,pairs,4,0.046912193,win,R
157,pairs,5,0.046878815,win,R
158,pairs,6,0.062542915,win,R
159,pairs,7,0.062536955,win,R
160,pairs,8,0.096157074,win,R
161,pairs,9,0.109386921,win,R
162,pairs,10,0.125046015,win,R
163,pairs,2,0.015625,win,R
164,pairs,3,0.031252861,win,R
165,pairs,4,0.031286001,win,R
166,pairs,5,0.046915054,win,R
167,pairs,6,0.062536955,win,R
168,pairs,7,0.076668024,win,R
169,pairs,8,0.093780041,win,R
170,pairs,9,0.110706806,win,R
171,pairs,10,0.126340866,win,R
172,pairs,2,0.015633821,win,R
173,pairs,3,0.031275988,win,R
174,pairs,4,0.031286001,win,R
175,pairs,5,0.04688096,win,R
176,pairs,6,0.062538862,win,R
177,pairs,7,0.07455802,win,R
178,pairs,8,0.078162909,win,R
179,pairs,9,0.125996113,win,R
180,pairs,10,0.125046015,win,R
181,pairs,2,0.026272058,win,R
182,pairs,3,0.031284094,win,R
183,pairs,4,0.046885014,win,R
184,pairs,5,0.062507868,win,R
185,pairs,6,0.075217009,win,R
186,pairs,7,0.071879864,win,R
187,pairs,8,0.078151941,win,R
188,pairs,9,0.120852947,win,R
189,pairs,10,0.125049114,win,R
190,pairs,2,0.015632153,win,R
191,pairs,3,0.031285048,win,R
192,pairs,4,0.037461042,win,R
193,pairs,5,0.048167229,win,R
194,pairs,6,0.062511921,win,R
195,pairs,7,0.085494995,win,R
196,pairs,8,0.093764067,win,R
197,pairs,9,0.112836123,win,R
198,pairs,10,0.140671015,win,R
199,pairs,2,0.031229019,win,R
200,pairs,3,0.031280994,win,R
201,pairs,4,0.046885014,win,R
202,pairs,5,0.046916008,win,R
203,pairs,6,0.06250906,win,R
204,pairs,7,0.078156233,win,R
205,pairs,8,0.093761921,win,R
206,pairs,9,0.109099865,win,R
207,pairs,10,0.125015974,win,R
208,pairs,2,0.02405405,win,R
209,pairs,3,0.029710054,win,R
210,pairs,4,0.037899017,win,R
211,pairs,5,0.048461914,win,R
212,pairs,6,0.063894033,win,R
213,pairs,7,0.070259094,win,R
214,pairs,8,0.099457026,win,R
215,pairs,9,0.113530159,win,R
216,pairs,10,0.132849932,win,R
217,pairs,2,0.031286955,win,R
218,pairs,3,0.031219959,win,R
219,pairs,4,0.046913147,win,R
220,pairs,5,0.046911955,win,R
221,pairs,6,0.058573961,win,R
222,pairs,7,0.078137159,win,R
223,pairs,8,0.104278088,win,R
224,pairs,9,0.135293007,win,R
225,pairs,10,0.136699915,win,R
226,pairs,2,0.031280041,win,R
227,pairs,3,0.041028976,win,R
228,pairs,4,0.028614044,win,R
229,pairs,5,0.051478863,win,R
230,pairs,6,0.062507153,win,R
231,pairs,7,0.062506914,win,R
232,pairs,8,0.093760014,win,R
233,pairs,9,0.109376907,win,R
234,pairs,10,0.140640974,win,R
235,pairs,2,0.015627146,win,R
236,pairs,3,0.031248093,win,R
237,pairs,4,0.03125,win,R
238,pairs,5,0.046880007,win,R
239,pairs,6,0.062493086,win,R
240,pairs,7,0.079528093,win,R
241,pairs,8,0.093760967,win,R
242,pairs,9,0.125014067,win,R
243,pairs,10,0.140640974,win,R
244,pairs,2,0.015614986,win,R
245,pairs,3,0.031253099,win,R
246,pairs,4,0.031254053,win,R
247,pairs,5,0.04688096,win,R
248,pairs,6,0.062506914,win,R
249,pairs,7,0.078133106,win,R
250,pairs,8,0.093760967,win,R
251,pairs,9,0.125014067,win,R
252,pairs,10,0.126354933,win,R
253,pairs,2,0.03124404,win,R
254,pairs,3,0.031252146,win,R
255,pairs,4,0.031254053,win,R
256,pairs,5,0.046880007,win,R
257,pairs,6,0.062505007,win,R
258,pairs,7,0.07813406,win,R
259,pairs,8,0.093760014,win,R
260,pairs,9,0.12501502,win,R
261,pairs,10,0.140640974,win,R
262,pairs,2,0.031252861,win,R
263,pairs,3,0.035501003,win,R
264,pairs,4,0.043781996,win,R
265,pairs,5,0.062175035,win,R
266,pairs,6,0.062507153,win,R
267,pairs,7,0.078133106,win,R
268,pairs,8,0.093751907,win,R
269,pairs,9,0.10939002,win,R
270,pairs,10,0.141298771,win,R
271,ggpairs,2,0.27384901,win,R
272,ggpairs,3,0.52892518,win,R
273,ggpairs,4,0.717060089,win,R
274,ggpairs,5,1.097187996,win,R
275,ggpairs,6,1.570933104,win,R
276,ggpairs,7,2.129733801,win,R
277,ggpairs,8,2.784631968,win,R
278,ggpairs,9,3.599106073,win,R
279,ggpairs,10,4.120640993,win,R
280,ggpairs,2,0.23190403,win,R
281,ggpairs,3,0.45299387,win,R
282,ggpairs,4,0.765940905,win,R
283,ggpairs,5,1.177197933,win,R
284,ggpairs,6,1.650647879,win,R
285,ggpairs,7,2.2846241,win,R
286,ggpairs,8,2.969283104,win,R
287,ggpairs,9,3.534353971,win,R
288,ggpairs,10,4.520848036,win,R
289,ggpairs,2,0.250925779,win,R
290,ggpairs,3,0.500672102,win,R
291,ggpairs,4,0.821131945,win,R
292,ggpairs,5,1.301362038,win,R
293,ggpairs,6,1.848922968,win,R
294,ggpairs,7,2.099719048,win,R
295,ggpairs,8,2.809850216,win,R
296,ggpairs,9,3.652991056,win,R
297,ggpairs,10,4.678910971,win,R
298,ggpairs,2,0.281314135,win,R
299,ggpairs,3,0.457581997,win,R
300,ggpairs,4,0.745018959,win,R
301,ggpairs,5,1.166006804,win,R
302,ggpairs,6,1.64930892,win,R
303,ggpairs,7,2.224384069,win,R
304,ggpairs,8,2.96500802,win,R
305,ggpairs,9,3.86154604,win,R
306,ggpairs,10,4.336621046,win,R
307,ggpairs,2,0.282102108,win,R
308,ggpairs,3,0.477059841,win,R
309,ggpairs,4,0.787893057,win,R
310,ggpairs,5,1.170633078,win,R
311,ggpairs,6,1.700541973,win,R
312,ggpairs,7,2.304352999,win,R
313,ggpairs,8,3.129841805,win,R
314,ggpairs,9,3.439866066,win,R
315,ggpairs,10,4.556962967,win,R
316,ggpairs,2,0.250061035,win,R
317,ggpairs,3,0.516479969,win,R
318,ggpairs,4,0.834830999,win,R
319,ggpairs,5,1.227626085,win,R
320,ggpairs,6,1.782938957,win,R
321,ggpairs,7,2.270794153,win,R
322,ggpairs,8,2.833604097,win,R
323,ggpairs,9,3.730780125,win,R
324,ggpairs,10,4.627466917,win,R
325,ggpairs,2,0.271759033,win,R
326,ggpairs,3,0.504266977,win,R
327,ggpairs,4,0.847941875,win,R
328,ggpairs,5,1.118599892,win,R
329,ggpairs,6,1.637634993,win,R
330,ggpairs,7,2.273989916,win,R
331,ggpairs,8,2.966969013,win,R
332,ggpairs,9,3.859272957,win,R
333,ggpairs,10,4.528735876,win,R
334,ggpairs,2,0.239431858,win,R
335,ggpairs,3,0.487183094,win,R
336,ggpairs,4,0.806725025,win,R
337,ggpairs,5,1.235662937,win,R
338,ggpairs,6,1.731496096,win,R
339,ggpairs,7,2.320766926,win,R
340,ggpairs,8,3.054548025,win,R
341,ggpairs,9,3.656466007,win,R
342,ggpairs,10,4.450639009,win,R
343,ggpairs,2,0.240268946,win,R
344,ggpairs,3,0.495923996,win,R
345,ggpairs,4,0.819917917,win,R
346,ggpairs,5,1.297078133,win,R
347,ggpairs,6,1.828311205,win,R
348,ggpairs,7,2.401245832,win,R
349,ggpairs,8,2.793279886,win,R
350,ggpairs,9,3.725888014,win,R
351,ggpairs,10,4.632084846,win,R
352,ggpairs,2,0.249852896,win,R
353,ggpairs,3,0.504629135,win,R
354,ggpairs,4,0.934436798,win,R
355,ggpairs,5,1.120820999,win,R
356,ggpairs,6,1.611423969,win,R
357,ggpairs,7,2.23705101,win,R
358,ggpairs,8,2.960406065,win,R
359,ggpairs,9,3.80145812,win,R
360,ggpairs,10,4.600646973,win,R
361,ggpairs,2,0.274795055,win,R
362,ggpairs,3,0.476495028,win,R
363,ggpairs,4,0.777013063,win,R
364,ggpairs,5,1.219528913,win,R
365,ggpairs,6,1.746712923,win,R
366,ggpairs,7,2.345767021,win,R
367,ggpairs,8,3.077779055,win,R
368,ggpairs,9,3.765197039,win,R
369,ggpairs,10,4.661768913,win,R
370,ggpairs,2,0.252444029,win,R
371,ggpairs,3,0.487992048,win,R
372,ggpairs,4,0.836150169,win,R
373,ggpairs,5,1.281461954,win,R
374,ggpairs,6,1.834519148,win,R
375,ggpairs,7,2.465293884,win,R
376,ggpairs,8,2.956011057,win,R
377,ggpairs,9,3.690104961,win,R
378,ggpairs,10,4.746551037,win,R
379,ggpairs,2,0.273692131,win,R
380,ggpairs,3,0.526242018,win,R
381,ggpairs,4,0.943093061,win,R
382,ggpairs,5,1.184020996,win,R
383,ggpairs,6,1.674263,win,R
384,ggpairs,7,2.247574091,win,R
385,ggpairs,8,2.981193781,win,R
386,ggpairs,9,3.837425947,win,R
387,ggpairs,10,4.606766939,win,R
388,ggpairs,2,0.259521008,win,R
389,ggpairs,3,0.498965025,win,R
390,ggpairs,4,0.821249962,win,R
391,ggpairs,5,1.272262812,win,R
392,ggpairs,6,1.756407022,win,R
393,ggpairs,7,2.422013044,win,R
394,ggpairs,8,3.159785032,win,R
395,ggpairs,9,3.722484112,win,R
396,ggpairs,10,4.588144064,win,R
397,ggpairs,2,0.269608021,win,R
398,ggpairs,3,0.507507086,win,R
399,ggpairs,4,0.850522041,win,R
400,ggpairs,5,1.291606903,win,R
401,ggpairs,6,1.834428072,win,R
402,ggpairs,7,2.430832863,win,R
403,ggpairs,8,2.878741026,win,R
404,ggpairs,9,3.786365986,win,R
405,ggpairs,10,4.86606288,win,R
406,ggpairs,2,0.29302001,win,R
407,ggpairs,3,0.511654139,win,R
408,ggpairs,4,0.917396069,win,R
409,ggpairs,5,1.181777954,win,R
410,ggpairs,6,1.695425987,win,R
411,ggpairs,7,2.322160006,win,R
412,ggpairs,8,3.030972004,win,R
413,ggpairs,9,3.981608152,win,R
414,ggpairs,10,4.556735992,win,R
415,ggpairs,2,0.24702692,win,R
416,ggpairs,3,0.492175817,win,R
417,ggpairs,4,0.839032173,win,R
418,ggpairs,5,1.269961834,win,R
419,ggpairs,6,1.80821991,win,R
420,ggpairs,7,2.425326824,win,R
421,ggpairs,8,3.272305012,win,R
422,ggpairs,9,3.621539831,win,R
423,ggpairs,10,4.599003077,win,R
424,ggpairs,2,0.24987793,win,R
425,ggpairs,3,0.564325094,win,R
426,ggpairs,4,0.849848032,win,R
427,ggpairs,5,1.306986094,win,R
428,ggpairs,6,1.831892014,win,R
429,ggpairs,7,2.269934893,win,R
430,ggpairs,8,2.951463223,win,R
431,ggpairs,9,3.839094877,win,R
432,ggpairs,10,4.997581005,win,R
433,ggpairs,2,0.248339891,win,R
434,ggpairs,3,0.466745853,win,R
435,ggpairs,4,0.80313611,win,R
436,ggpairs,5,1.225092888,win,R
437,ggpairs,6,1.762655973,win,R
438,ggpairs,7,2.36857605,win,R
439,ggpairs,8,3.165087938,win,R
440,ggpairs,9,4.044414043,win,R
441,ggpairs,10,4.522363186,win,R
442,ggpairs,2,0.2535851,win,R
443,ggpairs,3,0.524292946,win,R
444,ggpairs,4,0.868411064,win,R
445,ggpairs,5,1.266002893,win,R
446,ggpairs,6,1.803622007,win,R
447,ggpairs,7,2.509288073,win,R
448,ggpairs,8,3.041672945,win,R
449,ggpairs,9,3.733715057,win,R
450,ggpairs,10,4.726375818,win,R
451,ggpairs,2,0.260354996,win,R
452,ggpairs,3,0.530787945,win,R
453,ggpairs,4,0.866796017,win,R
454,ggpairs,5,1.421339989,win,R
455,ggpairs,6,1.638563871,win,R
456,ggpairs,7,2.277256012,win,R
457,ggpairs,8,3.061122179,win,R
458,ggpairs,9,3.967410088,win,R
459,ggpairs,10,4.722609043,win,R
460,ggpairs,2,0.250063896,win,R
461,ggpairs,3,0.516414881,win,R
462,ggpairs,4,0.808596849,win,R
463,ggpairs,5,1.274023056,win,R
464,ggpairs,6,1.787302971,win,R
465,ggpairs,7,2.416910172,win,R
466,ggpairs,8,3.164182901,win,R
467,ggpairs,9,3.809308052,win,R
468,ggpairs,10,4.621679068,win,R
469,ggpairs,2,0.265475035,win,R
470,ggpairs,3,0.516724825,win,R
471,ggpairs,4,0.858745098,win,R
472,ggpairs,5,1.303864956,win,R
473,ggpairs,6,1.869757891,win,R
474,ggpairs,7,2.496226072,win,R
475,ggpairs,8,2.941735983,win,R
476,ggpairs,9,3.963986874,win,R
477,ggpairs,10,4.901939869,win,R
478,ggpairs,2,0.271178007,win,R
479,ggpairs,3,0.608798981,win,R
480,ggpairs,4,0.811407089,win,R
481,ggpairs,5,1.262759924,win,R
482,ggpairs,6,1.756597042,win,R
483,ggpairs,7,2.396245003,win,R
484,ggpairs,8,3.134999037,win,R
485,ggpairs,9,4.042864084,win,R
486,ggpairs,10,4.680918932,win,R
487,ggpairs,2,0.265655041,win,R
488,ggpairs,3,0.517989874,win,R
489,ggpairs,4,0.852923155,win,R
490,ggpairs,5,1.275755882,win,R
491,ggpairs,6,1.824579,win,R
492,ggpairs,7,2.524121046,win,R
493,ggpairs,8,3.238735914,win,R
494,ggpairs,9,3.73101902,win,R
495,ggpairs,10,4.783443928,win,R
496,ggpairs,2,0.265688181,win,R
497,ggpairs,3,0.524886847,win,R
498,ggpairs,4,0.863291025,win,R
499,ggpairs,5,1.390573978,win,R
500,ggpairs,6,1.859375,win,R
501,ggpairs,7,2.273337126,win,R
502,ggpairs,8,3.019691944,win,R
503,ggpairs,9,3.925102949,win,R
504,ggpairs,10,4.913835049,win,R
505,ggpairs,2,0.280357838,win,R
506,ggpairs,3,0.502707958,win,R
507,ggpairs,4,0.844819069,win,R
508,ggpairs,5,1.250396013,win,R
509,ggpairs,6,1.779814005,win,R
510,ggpairs,7,2.427806854,win,R
511,ggpairs,8,3.238321066,win,R
512,ggpairs,9,3.962161064,win,R
513,ggpairs,10,4.72995615,win,R
514,ggpairs,2,0.265680075,win,R
515,ggpairs,3,0.502178907,win,R
516,ggpairs,4,0.858847857,win,R
517,ggpairs,5,1.328490019,win,R
518,ggpairs,6,1.901815891,win,R
519,ggpairs,7,2.522202969,win,R
520,ggpairs,8,3.043053865,win,R
521,ggpairs,9,3.904800892,win,R
522,ggpairs,10,4.932528973,win,R
523,ggpairs,2,0.290529013,win,R
524,ggpairs,3,0.613073826,win,R
525,ggpairs,4,0.804934025,win,R
526,ggpairs,5,1.229649067,win,R
527,ggpairs,6,1.747208834,win,R
528,ggpairs,7,2.398278952,win,R
529,ggpairs,8,3.202214003,win,R
530,ggpairs,9,4.178372145,win,R
531,ggpairs,10,4.707977057,win,R
532,ggpairs,2,0.284660101,win,R
533,ggpairs,3,0.515712023,win,R
534,ggpairs,4,0.876102209,win,R
535,ggpairs,5,1.359256029,win,R
